brand,category,product_name,model,variant,sku,mrp,image_path,source_url
Axor,Helmets,Apex Marvel Deadpool Helmet,Apex Marvel Deadpool Helmet,Standard,7285836546180,6500.00,images_processed\axor\209_e677a1f7-4614-4e0c-a8da-4f9a23b52a88.webp,
Axor,Helmets,Apex Solid Color Helmet,Apex Solid Color Helmet,Standard,7102683873412,5498.00,images_processed\axor\597.webp,
Axor,Helmets,Apex Streak Helmet,Apex Streak Helmet,Standard,7262477910148,5498.00,images_processed\axor\229.webp,
Axor,Helmets,Retro Jet Sportz S13 Helmet,Retro Jet Sportz S13 Helmet,Standard,7245393854596,2951.00,images_processed\axor\JetSportsBlueBlack-2.webp,
Axor,Helmets,Retro Jet Sportz C13 Helmet,Retro Jet Sportz C13 Helmet,Standard,7242883727492,2951.00,images_processed\axor\JetSportsOrangeBlue-2.webp,
Axor,Helmets,Apex Seadevil helmet,Apex Seadevil helmet,Standard,7102684070020,5498.00,images_processed\axor\470.webp,
Axor,Helmets,Pinlock 70 Film,Pinlock 70 Film,Standard,7204588126340,2060.00,images_processed\axor\Pinlock70.webp,
Axor,Helmets,Apex Trance Helmet,Apex Trance Helmet,Standard,7201377976452,5498.00,images_processed\axor\318_92b859e1-5847-4b46-87c7-3328e18a8bf4.webp,
Axor,Helmets,X-cross X1 Dual Visor Helmet,X-cross X1 Dual Visor Helmet,Standard,7202020982916,7406.00,images_processed\axor\WHITERED2.webp,
Axor,Helmets,X-cross X1 Helmet,X-cross X1 Helmet,Standard,7103154716804,5984.00,images_processed\axor\419.webp,
Axor,Helmets,Axor Nimbuz Jacket,Axor Nimbuz Jacket,Standard,7185079140484,6821.00,images_processed\axor\BlackGrey_2_379e2546-b70b-4974-bf4d-d88f3bc5617a.webp,
Axor,Helmets,X-Cross Flash Dual Visor Helmet,X-Cross Flash Dual Visor Helmet,Standard,7147987763332,7406.00,images_processed\axor\CoolGreyGreen2.webp,
Axor,Helmets,Retro Jet Euro Globe Helmet,Retro Jet Euro Globe Helmet,Standard,7142961283204,2951.00,images_processed\axor\Black2_9d3041cb-fb1c-4fad-93cd-7f15efd45db3.webp,
Axor,Helmets,Axor Retro Jet Ibiza Women's Helmet,Axor Retro Jet Ibiza Women's Helmet,Standard,7119121023108,2951.00,images_processed\axor\IBIZA_2.webp,
Axor,Helmets,Apex Marvel Venom Helmet,Apex Marvel Venom Helmet,Standard,7115066704004,6500.00,images_processed\axor\346_c48a758d-4fce-4a40-a121-29f6a33de978.webp,
